cancer,drug,logrank_p,cox_hr,n_sens,n_res,fdr_q
TCGA-CHOL,123138,0.2746908880822587,0.6599019471620015,17,16,0.9744437288454759
TCGA-CHOL,123829,0.30742543162700575,0.36725266534040657,17,16,0.9744437288454759
TCGA-CHOL,150412,0.7602235833878281,0.4254266617251058,17,16,0.9744437288454759
TCGA-CHOL,5-Fluorouracil,0.8349217444791366,1.1916546170045652,17,16,0.9744437288454759
TCGA-CHOL,5-azacytidine,0.6605096410790186,0.803569626734402,17,16,0.9744437288454759
TCGA-CHOL,50869,0.7135716007164253,0.8200881230622272,17,16,0.9744437288454759
TCGA-CHOL,615590,0.30260666992333635,0.9957702245046777,17,16,0.9744437288454759
TCGA-CHOL,630600,0.6605114881668392,1.106809346068891,17,16,0.9744437288454759
TCGA-CHOL,667880,0.6468919865067075,1.0931021609666662,17,16,0.9744437288454759
TCGA-CHOL,720427,0.6520286263739767,0.8173099456220826,17,16,0.9744437288454759
TCGA-CHOL,729189,0.8015695735442365,0.6143962596194492,17,16,0.9744437288454759
TCGA-CHOL,741909,0.22004718717195867,0.8497963953015811,17,16,0.9744437288454759
TCGA-CHOL,743380,0.3502279696994022,0.930028476574303,17,16,0.9744437288454759
TCGA-CHOL,765771,0.5051714658299062,0.5019808143514904,17,16,0.9744437288454759
TCGA-CHOL,776928,0.5852669965595348,0.9388862442091118,17,16,0.9744437288454759
TCGA-CHOL,A-366,0.941719671349908,1.2036467140633578,17,16,0.9744437288454759
TCGA-CHOL,ABT737,0.8335270786526043,1.702301636859999,17,16,0.9744437288454759
TCGA-CHOL,AGI-5198,0.9278856436445657,1.8668656452373076,17,16,0.9744437288454759
TCGA-CHOL,AGI-6780,0.3930723308934919,1.0313825941564405,17,16,0.9744437288454759
TCGA-CHOL,AGK2,0.8344334801796165,1.474655586467451,17,16,0.9744437288454759
TCGA-CHOL,AMG-319,0.1093361187467291,2.5743618917082265,17,16,0.9744437288454759
TCGA-CHOL,AT13148,0.9282116851520484,0.9892969724327952,17,16,0.9744437288454759
TCGA-CHOL,AZ6102,0.6704047850636526,0.8115815132535811,17,16,0.9744437288454759
TCGA-CHOL,AZ960,0.7741342356768564,1.4087001081297494,17,16,0.9744437288454759
TCGA-CHOL,AZD1208,0.6751302135872723,1.0592187753898772,17,16,0.9744437288454759
TCGA-CHOL,AZD1332,0.9727680589361322,1.8599123525402947,17,16,0.9869690524972436
TCGA-CHOL,AZD3759,0.8874861864566089,2.816429307416867,17,16,0.9744437288454759
TCGA-CHOL,AZD4547,0.22892427404046695,0.8608520800986824,17,16,0.9744437288454759
TCGA-CHOL,AZD5153,0.8949939794858826,1.4233245160009294,17,16,0.9744437288454759
TCGA-CHOL,AZD5363,0.857383026278028,1.2667040738806885,17,16,0.9744437288454759
TCGA-CHOL,AZD5438,0.8218204048824658,0.9368839947156918,17,16,0.9744437288454759
TCGA-CHOL,AZD5582,0.1211677299489588,1.2096022307278451,17,16,0.9744437288454759
TCGA-CHOL,AZD5991,0.8112118300791515,1.1752609109752281,17,16,0.9744437288454759
TCGA-CHOL,AZD6738,0.5149246892691786,1.1507714538677432,17,16,0.9744437288454759
TCGA-CHOL,AZD7762,0.4636517268105349,1.192749278637872,17,16,0.9744437288454759
TCGA-CHOL,AZD8055,0.5018179269812552,0.750900701619592,17,16,0.9744437288454759
TCGA-CHOL,AZD8186,0.9482335372053469,2.767672365114528,17,16,0.976329345715135
TCGA-CHOL,Acetalax,0.7947931868800352,1.0782206000845673,17,16,0.9744437288454759
TCGA-CHOL,Afatinib,0.6119376509729207,0.9943255587956025,17,16,0.9744437288454759
TCGA-CHOL,Afuresertib,0.40179851962274726,1.4733697441358458,17,16,0.9744437288454759
TCGA-CHOL,Alisertib,0.8223286977956326,1.0994742144250746,17,16,0.9744437288454759
TCGA-CHOL,Alpelisib,0.6687848308259179,1.499270535570916,17,16,0.9744437288454759
TCGA-CHOL,Avagacestat,0.644540570883749,1.636256344793626,17,16,0.9744437288454759
TCGA-CHOL,Axitinib,0.823928478140076,1.095613391661837,17,16,0.9744437288454759
TCGA-CHOL,BDF00022089a,0.5424357926957694,1.5451619273281954,17,16,0.9744437288454759
TCGA-CHOL,BDILV000379a,0.648968184192584,1.6653546091526363,17,16,0.9744437288454759
TCGA-CHOL,BDOCA000347a,0.9407681757281824,0.852699002735606,17,16,0.9744437288454759
TCGA-CHOL,BDP-00009066,0.9337446422031456,1.8555434083547446,17,16,0.9744437288454759
TCGA-CHOL,BEN,0.36422130953053555,0.7110157799479198,17,16,0.9744437288454759
TCGA-CHOL,BI-2536,0.7021286371501698,1.0149003166057002,17,16,0.9744437288454759
TCGA-CHOL,BIBR-1532,0.6670062862473125,1.292822482362783,17,16,0.9744437288454759
TCGA-CHOL,BMS-345541,0.7015839499898562,1.2287334685133628,17,16,0.9744437288454759
