master_ccl_id,mean_bet_auc,meso,ccl_name,ccle_primary_site
203,0.70519,False,DAUDI,haematopoietic_and_lymphoid_tissue
204,0.7046633333333334,False,DB,haematopoietic_and_lymphoid_tissue
205,0.94624,False,DBTRG05MG,central_nervous_system
206,0.7920599999999999,False,DEL,haematopoietic_and_lymphoid_tissue
208,0.7213233333333333,False,DETROIT562,upper_aerodigestive_tract
211,0.8134466666666667,False,DKMG,central_nervous_system
212,0.9155000000000001,False,DLD1,large_intestine
215,0.8137500000000001,False,DMS114,lung
217,0.82617,False,DMS273,lung
218,0.7805533333333333,False,DMS454,lung
219,0.7156933333333333,False,DMS53,lung
220,0.9107750000000001,False,DMS79,lung
221,0.6865766666666667,False,DND41,haematopoietic_and_lymphoid_tissue
222,0.68153,False,DOHH2,haematopoietic_and_lymphoid_tissue
223,0.9980600000000001,False,DOV13,
225,0.8933416666666667,False,DU145,prostate
226,0.7155966666666668,False,DU4475,breast
227,0.7134933333333334,False,DV90,lung
228,0.7739699999999999,False,EB1,haematopoietic_and_lymphoid_tissue
230,0.7284466666666667,False,EBC1,lung
231,0.72657,False,ECC10,stomach
232,0.88287,False,ECC12,stomach
233,1.0047733333333333,False,ECGI10,oesophagus
234,0.8293900000000001,False,EFE184,endometrium
236,0.838105,False,EFM192A,breast
237,0.9284500000000001,False,EFO21,ovary
238,0.9163833333333334,False,EFO27,ovary
239,0.7321433333333333,False,EHEB,haematopoietic_and_lymphoid_tissue
240,0.7696200000000001,False,EJM,haematopoietic_and_lymphoid_tissue
241,0.8981500000000001,False,EKVX,
242,0.6098766666666666,False,EM2,haematopoietic_and_lymphoid_tissue
243,0.9794566666666666,False,EN,endometrium
244,0.53128,False,EOL1,haematopoietic_and_lymphoid_tissue
246,0.8073466666666667,False,EPLC272H,lung
247,0.9687966666666666,False,ES2,ovary
248,0.79275,False,ESS1,endometrium
253,0.7088666666666666,False,F36P,haematopoietic_and_lymphoid_tissue
255,0.8462066666666667,False,FADU,upper_aerodigestive_tract
257,0.9040833333333333,False,FTC133,thyroid
258,0.8373666666666667,False,FTC238,thyroid
259,0.72234,False,FU97,stomach
261,0.67286,False,FUOV1,ovary
262,0.8928533333333334,False,G292CLONEA141B1,bone
263,0.7011633333333332,False,G361,skin
264,0.7018866666666667,False,G401,soft_tissue
265,0.7362233333333333,False,G402,soft_tissue
266,0.68521,False,GA10,haematopoietic_and_lymphoid_tissue
268,0.8888333333333334,False,GAMG,central_nervous_system
269,0.8957733333333334,False,GB1,central_nervous_system
271,0.86607,False,GCT,soft_tissue
272,0.7909466666666667,False,GDM1,haematopoietic_and_lymphoid_tissue
274,0.8135,False,GI1,central_nervous_system
280,0.88919,False,GMS10,central_nervous_system
281,0.8729533333333332,False,GOS3,central_nervous_system
282,0.8351099999999999,False,GP2D,large_intestine
283,0.7436933333333333,False,GRANTA519,haematopoietic_and_lymphoid_tissue
285,0.6889766666666667,False,GSS,stomach
286,0.8604933333333333,False,GSU,stomach
290,0.9264266666666666,False,H292,lung
293,0.9100266666666667,False,HARA,lung
295,0.8813366666666665,False,HCC1143,breast
296,0.8996833333333333,False,HCC1171,lung
298,0.9276066666666667,False,HCC1195,lung
300,0.8927566666666666,False,HCC1395,breast
301,0.91994,False,HCC1419,breast
302,0.7970866666666666,False,HCC1428,breast
303,0.8865166666666666,False,HCC1438,lung
304,0.80809,False,HCC15,lung
305,0.8118,False,HCC1500,breast
306,0.796675,False,HCC1569,breast
307,0.8554433333333332,False,HCC1588,lung
309,0.8343633333333335,False,HCC1806,breast
310,0.8062233333333334,False,HCC1833,lung
313,0.9181499999999999,False,HCC1937,breast
314,0.9049766666666667,False,HCC1954,breast
315,0.8807533333333333,False,HCC202,breast
316,0.8823333333333334,False,HCC2108,lung
318,0.8834,False,HCC2218,breast
319,0.8195199999999999,False,HCC2279,lung
324,0.99743,False,HCC2935,lung
328,0.7838666666666666,False,HCC366,lung
330,0.8244866666666667,False,HCC38,breast
331,0.97677,False,HCC4006,lung
332,0.7105666666666667,False,HCC44,lung
337,0.9359033333333334,False,HCC56,large_intestine
339,0.9159366666666666,False,HCC78,lung
340,0.93608,False,HCC827,lung
342,0.7444099999999999,False,HCC95,lung
343,0.9946866666666666,False,HCT116,large_intestine
345,0.7885833333333334,False,HCT15,large_intestine
346,0.83105,False,HCT8,large_intestine
347,0.7981666666666666,False,HDLM2,haematopoietic_and_lymphoid_tissue
348,0.8446866666666667,False,HDMYZ,haematopoietic_and_lymphoid_tissue
349,0.93203,False,HDQP1,breast
350,1.0063733333333333,False,HEC108,endometrium
351,0.7802933333333333,False,HEC151,endometrium
352,0.8498633333333334,False,HEC1A,endometrium
353,0.6726266666666666,False,HEC1B,endometrium
354,0.7493533333333332,False,HEC251,endometrium
355,0.89926,False,HEC265,endometrium
356,0.92871,False,HEC50B,endometrium
357,0.83347,False,HEC59,endometrium
358,0.7955166666666665,False,HEC6,endometrium
362,0.6436033333333334,False,HEL,haematopoietic_and_lymphoid_tissue
363,0.6839033333333333,False,HEL9217,haematopoietic_and_lymphoid_tissue
364,0.9689683333333333,False,HELA,
365,0.8261266666666667,False,HEP3B217,liver
366,0.8642866666666666,False,HEPG2,liver
367,0.8658433333333333,False,HEYA8,ovary
368,0.76517,False,HGC27,stomach
369,0.6767099999999999,False,HH,haematopoietic_and_lymphoid_tissue
371,0.6874233333333333,False,HL60,haematopoietic_and_lymphoid_tissue
374,0.9466600000000001,False,HLF,liver
376,0.79872,False,HMC18,breast
377,0.8556366666666667,False,HMCB,skin
381,0.8341500000000001,False,HOP62,
382,0.8815133333333334,False,HOP92,
383,0.8704999999999999,False,HOS,bone
384,0.8639433333333333,False,HPAC,pancreas
385,0.9753233333333333,False,HPAFII,pancreas
386,0.7651266666666667,False,HPBALL,haematopoietic_and_lymphoid_tissue
395,0.8542533333333333,False,HS294T,skin
399,0.8545866666666667,False,HS578BST,
400,0.8204866666666667,False,HS578T,breast
405,0.7818333333333333,False,HS611T,haematopoietic_and_lymphoid_tissue
