Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cancer,drug
prerank,Hypoxia,0.39266584380134845,1.6410911165736037,0.0026246719160104987,0.01814172657524316,0.172,45/90,29.94%,EXT1;ANXA2;EGFR;EFNA1;COL5A1;CCN2;ATF3;CCN1;ATP7A;FOS;HDLBP;CAV1;ERRFI1;IRS2;AKAP12;GPC1;ADORA2B;FOSL2;IGFBP1;DUSP1;GPC4;HS3ST1;IDS;F3;DCN;BGN;CDKN1A;ERO1A;EDN2;AK4;IER3;CCNG2;HSPA5;CA12;ANGPTL4;GBE1;FOXO3;BHLHE40;CCN5;INHA;CHST3;GAA;BNIP3L;CITED2;ALDOA,TCGA-CHOL,CPI-637
prerank,TGF-beta Signaling,0.5273005166804592,1.637275377079483,0.012578616352201259,0.017036186793934635,0.178,8/21,12.30%,CDH1;BMPR1A;BMPR2;APC;ACVR1;BMP2;FURIN;ID2,TCGA-CHOL,CPI-637
prerank,TNF-alpha Signaling via NF-kB,0.38622453284802105,1.6331680313731285,0.005263157894736842,0.01594877061559838,0.182,46/88,31.52%,INHBA;F2RL1;EFNA1;B4GALT5;HES1;ATF3;CCND1;CCN1;FOS;BMP2;IRS2;FOSB;GEM;EGR1;FUT4;FOSL2;DUSP1;ID2;F3;ICAM1;CDKN1A;DNAJB4;EGR2;FOSL1;ETS2;IL6ST;BIRC2;EDN1;DUSP4;IER3;DUSP5;AREG;HBEGF;CXCL1;CLCF1;IFIT2;BTG3;GADD45A;BHLHE40;B4GALT1;CXCL3;CXCL6;BCL6;DENND5A;CCL20;GFPT2,TCGA-CHOL,CPI-637
prerank,Estrogen Response Late,0.3840777646260915,1.5872605875659787,0.005305039787798408,0.023309741668951483,0.268,38/83,28.98%,FARP1;CDH1;DLG5;HOMER2;CCND1;HSPA4L;IL17RB;FRK;FOS;CA2;FGFR3;CAV1;FLNB;ANXA9;AFF1;CD9;ID2;DYNLT3;ABHD2;CYP4F11;IL6ST;CELSR2;FOXC1;ARL3;AGR2;AREG;GJB3;CA12;ABCA3;BTG3;GALE;ATP2B4;CCN5;CYP26B1;AMFR;ASS1;FKBP4;HR,TCGA-CHOL,CPI-637
prerank,Glycolysis,0.36573460747964687,1.5651086598333694,0.002583979328165375,0.027055950151461537,0.322,45/100,29.94%,ELF3;EXT1;AGRN;EGFR;COL5A1;DSC2;CHPF;HS2ST1;HOMER1;HDLBP;CAPN5;B3GNT3;IL13RA1;IRS2;ALDH7A1;CLDN9;GFPT1;GPC1;ADORA2B;GLCE;GALK2;EXT2;GPC4;IDH1;DCN;ERO1A;AK4;COG2;CLN6;IER3;EGLN3;HSPA5;ANGPTL4;AGL;B4GALT2;BPNT1;GALE;ARPP19;ECD;B4GALT1;GNE;FKBP4;CACNA1H;CITED2;ALDOA,TCGA-CHOL,CPI-637
prerank,KRAS Signaling Up,0.36144068210389113,1.5026390631625426,0.018617021276595744,0.04611852836343865,0.496,31/85,18.06%,INHBA;BTBD3;F2RL1;ITGA2;ANO1;ITGBL1;EVI5;BTC;CA2;EMP1;HKDC1;GUCY1A1;BMP2;GPRC5B;ETV4;AKAP12;ETV5;ADGRA2;DNMBP;ETV1;ANKH;ID2;ADAM17;IGF2;DUSP6;CFB;ACE;ERO1A;AMMECR1;DCBLD2;ALDH1A3,TCGA-CHOL,CPI-637
prerank,Reactive Oxygen Species Pathway,-0.42653856123644107,-1.3622838671116408,0.11180124223602485,0.1799674267100977,0.506,8/18,20.76%,ATOX1;GPX3;HMOX2;GLRX;GPX4;ERCC2;CDKN2D;FTL,TCGA-CHOL,CPI-637
prerank,E2F Targets,-0.29076043638883026,-1.332448293848119,0.06818181818181818,0.1782534512176206,0.572,33/74,30.22%,DDX39A;DUT;CKS2;EXOSC8;CHEK2;ASF1A;CDC25B;AURKB;EED;H2AX;HMGB2;EZH2;CDC20;BIRC5;CNOT9;ILF3;CENPM;HMGA1;AK2;H2AZ1;CDCA3;CDC25A;AURKA;CCNB2;GINS3;ASF1B;DONSON;CDKN2C;CIT;CDCA8;ESPL1;DEPDC1;HMMR,TCGA-CHOL,CPI-637
prerank,Apical Surface,0.41032748518311424,1.2885926283291436,0.16558441558441558,0.21966939527578083,0.962,12/21,30.06%,ATP8B1;APP;ADAM10;EPHB4;ADIPOR2;DCBLD2;CX3CL1;GAS1;EFNA5;B4GALT1;GSTM3;HSPB1,TCGA-CHOL,CPI-637
prerank,IL-6/JAK/STAT3 Signaling,-0.3197769819215175,-1.2851214861077178,0.09696969696969697,0.20231632283749545,0.674,7/41,5.88%,IL12RB1;EBI3;CD38;GRB2;IRF1;IL2RG;IL18R1,TCGA-CHOL,CPI-637
prerank,Cholesterol Homeostasis,0.3615410383744655,1.2724251776725504,0.15269461077844312,0.22914630722705323,0.966,11/37,19.54%,CYP51A1;ANXA5;ATF3;HMGCS1;CXCL16;ERRFI1;CD9;CPEB2;GPX8;HMGCR;CTNNB1,TCGA-CHOL,CPI-637
prerank,p53 Pathway,0.2879234146566431,1.211940331784602,0.1639784946236559,0.30978271813769914,0.99,19/79,15.12%,EPS8L2;APP;F2R;ATF3;EPHA2;GPX2;HSPA4L;FOS;ACVR1B;BMP2;ITGB4;CDKN2B;CSRNP2;APAF1;ABHD4;EI24;CDKN1A;CCP110;BAIAP2,TCGA-CHOL,CPI-637
prerank,Interferon Alpha Response,-0.2796624257644908,-1.1853196866568327,0.1506849315068493,0.3183097343171796,0.886,15/45,24.86%,ISG20;CD74;IRF1;CASP1;CMTR1;DHX58;HLA-C;CASP8;B2M;IFITM1;EPSTI1;GBP4;IRF7;IRF9;IL15,TCGA-CHOL,CPI-637
