splithalf_pearson_r
0.40451
0.41251
0.14229
0.38624
0.29338
0.34266
0.33342
0.03993
0.31012
0.07633
0.27552
0.20857
0.25006
-0.22136
-0.14184
0.19935
0.36164
0.31380
0.39259
0.27803
0.31485
0.08811
0.15956
0.33917
0.13929
0.07109
0.03708
0.29114
0.15129
0.33787
0.26407
0.28085
0.29783
0.11987
0.09564
0.32757
0.24940
0.38135
0.37781
0.30787
0.04002
0.29622
0.03863
-0.10189
0.14743
0.05611
0.16872
0.23085
0.33673
0.38318
0.27989
0.20205
-0.09755
0.27826
0.31339
0.25518
0.06222
0.06474
0.35808
0.05585
0.10721
0.19406
0.07171
0.36541
0.36010
0.20383
0.35535
-0.06084
-0.08633
0.28317
0.03652
0.07744
0.18751
0.30648
0.06246
0.26915
0.35373
0.08134
0.30447
0.33760
0.19848
0.25853
0.23578
-0.07962
0.13104
-0.13789
-0.24727
0.11127
0.21640
-0.02581
0.09106
0.31087
0.24661
-0.05419
0.01351
0.44104
0.31192
0.26291
0.33171
-0.02319
